Age,MeanDNE.Apex,MedianDNE.Apex,IQRDNE.Apex,TotalDNE.TotalPolygonFaces,MedianDNE.Whole,IQRDNE.Whole,MeanDNE.Convex,MeanDNE.Concave,Proportion.DNEunder0.0001,Proportion.DNEover0.6,Population
89,0.048558 ,0.013423 ,0.034077 ,0.040472 ,0.014599 ,0.029704 ,0.026271 ,0.031641 ,0.003519 ,0.004488 ,European
56,0.033709 ,0.014490 ,0.030519 ,0.026891 ,0.010516 ,0.022962 ,0.022395 ,0.025932 ,0.005046 ,0.001849 ,European
75,0.032198 ,0.010922 ,0.026726 ,0.019487 ,0.008084 ,0.017351 ,0.019763 ,0.021214 ,0.004024 ,0.001245 ,European
75,0.037207 ,0.019016 ,0.030060 ,0.030457 ,0.010355 ,0.021108 ,0.023695 ,0.027880 ,0.003944 ,0.001841 ,European
47,0.034744 ,0.011492 ,0.020512 ,0.018898 ,0.007505 ,0.018498 ,0.017871 ,0.017235 ,0.005428 ,0.001445 ,European
68,0.042720 ,0.013810 ,0.030905 ,0.023810 ,0.008992 ,0.021724 ,0.022720 ,0.026511 ,0.004839 ,0.002602 ,European
68,0.037589 ,0.013955 ,0.027490 ,0.023463 ,0.009678 ,0.021677 ,0.024665 ,0.029491 ,0.005063 ,0.001631 ,European
54,0.034267 ,0.010852 ,0.030071 ,0.017159 ,0.007540 ,0.024294 ,0.020828 ,0.023054 ,0.004870 ,0.001316 ,European
31,0.030477 ,0.009131 ,0.020593 ,0.018366 ,0.006107 ,0.015210 ,0.018159 ,0.017783 ,0.005362 ,0.001034 ,European
31,0.031741 ,0.010430 ,0.021185 ,0.016440 ,0.006118 ,0.012732 ,0.018334 ,0.018306 ,0.005335 ,0.001025 ,European
77,0.042251 ,0.016888 ,0.034047 ,0.025464 ,0.010912 ,0.023599 ,0.023935 ,0.028204 ,0.004187 ,0.001833 ,European
77,0.036012 ,0.016931 ,0.030138 ,0.032571 ,0.009590 ,0.018501 ,0.025049 ,0.030182 ,0.004100 ,0.001821 ,European
39,0.035826 ,0.010367 ,0.027781 ,0.016603 ,0.006911 ,0.016317 ,0.019576 ,0.020694 ,0.005199 ,0.001290 ,European
39,0.026972 ,0.010808 ,0.022093 ,0.015340 ,0.007595 ,0.014252 ,0.018342 ,0.018323 ,0.005001 ,0.001050 ,European
47,0.028629 ,0.011752 ,0.029662 ,0.022675 ,0.008381 ,0.017841 ,0.020138 ,0.021627 ,0.005102 ,0.001287 ,European
47,0.031604 ,0.009126 ,0.020357 ,0.015058 ,0.008379 ,0.016954 ,0.017900 ,0.017274 ,0.005782 ,0.001492 ,European
25,0.027411 ,0.010014 ,0.022717 ,0.015707 ,0.007271 ,0.013705 ,0.017248 ,0.016270 ,0.005534 ,0.000851 ,European
25,0.023636 ,0.009129 ,0.017985 ,0.018624 ,0.006846 ,0.015738 ,0.017235 ,0.016083 ,0.005080 ,0.000856 ,European
28,0.023185 ,0.010356 ,0.023342 ,0.014517 ,0.004958 ,0.014183 ,0.018233 ,0.018091 ,0.005385 ,0.000890 ,European
28,0.028862 ,0.009174 ,0.021402 ,0.019894 ,0.007453 ,0.010664 ,0.020517 ,0.022430 ,0.005420 ,0.000853 ,European
56,0.033071 ,0.013550 ,0.028314 ,0.023768 ,0.008541 ,0.021487 ,0.020165 ,0.021729 ,0.005709 ,0.001413 ,European
56,0.040110 ,0.012696 ,0.024727 ,0.027023 ,0.009798 ,0.022509 ,0.020760 ,0.022839 ,0.004328 ,0.001498 ,European
34,0.032443 ,0.010786 ,0.022349 ,0.015115 ,0.007498 ,0.015995 ,0.016391 ,0.014887 ,0.005749 ,0.001071 ,European
34,0.034857 ,0.010200 ,0.022697 ,0.015473 ,0.006354 ,0.015099 ,0.018576 ,0.019184 ,0.006232 ,0.000880 ,European
61,0.033771 ,0.010539 ,0.028459 ,0.022980 ,0.009399 ,0.018459 ,0.019222 ,0.019933 ,0.004137 ,0.001596 ,European
55,0.031168 ,0.014176 ,0.022894 ,0.025873 ,0.007851 ,0.022752 ,0.022158 ,0.025695 ,0.005149 ,0.001837 ,European
55,0.034759 ,0.013805 ,0.022034 ,0.019325 ,0.008906 ,0.021042 ,0.020546 ,0.022456 ,0.005174 ,0.001438 ,European
33,0.038296 ,0.010480 ,0.022388 ,0.015943 ,0.008001 ,0.015824 ,0.017288 ,0.016417 ,0.004992 ,0.000922 ,European
33,0.032553 ,0.009768 ,0.022677 ,0.017775 ,0.006465 ,0.015293 ,0.020175 ,0.021768 ,0.005550 ,0.001046 ,European
23,0.035445 ,0.010661 ,0.018172 ,0.016683 ,0.006221 ,0.014521 ,0.019240 ,0.019969 ,0.006140 ,0.000722 ,European
23,0.027494 ,0.009120 ,0.019869 ,0.016368 ,0.006920 ,0.015104 ,0.019674 ,0.021045 ,0.005734 ,0.000714 ,European
47,0.031393 ,0.010766 ,0.026595 ,0.020520 ,0.010835 ,0.016091 ,0.019626 ,0.020852 ,0.005375 ,0.001263 ,European
47,0.026558 ,0.010938 ,0.023217 ,0.024074 ,0.008104 ,0.020354 ,0.020466 ,0.022370 ,0.005110 ,0.001071 ,European
38,0.030897 ,0.007632 ,0.018523 ,0.018157 ,0.006773 ,0.016294 ,0.019339 ,0.020309 ,0.004044 ,0.001140 ,European
38,0.035365 ,0.010592 ,0.023897 ,0.019255 ,0.007153 ,0.014163 ,0.019329 ,0.020237 ,0.005040 ,0.001047 ,European
26,0.024281 ,0.007743 ,0.014872 ,0.011815 ,0.005901 ,0.014948 ,0.017351 ,0.016650 ,0.006257 ,0.000834 ,European
26,0.023683 ,0.009102 ,0.019195 ,0.014029 ,0.005805 ,0.014105 ,0.017376 ,0.016872 ,0.006190 ,0.000822 ,European
29,0.031685 ,0.009208 ,0.024815 ,0.013565 ,0.006060 ,0.014993 ,0.014684 ,0.013115 ,0.005654 ,0.000870 ,European
20,0.027524 ,0.008851 ,0.019235 ,0.017607 ,0.006885 ,0.014174 ,0.018642 ,0.019236 ,0.006208 ,0.000584 ,European
20,0.022206 ,0.007720 ,0.017931 ,0.014031 ,0.005906 ,0.018163 ,0.017436 ,0.016992 ,0.006591 ,0.002772 ,European
79,0.038136 ,0.012117 ,0.034757 ,0.023770 ,0.010460 ,0.024842 ,0.020190 ,0.021794 ,0.004194 ,0.001669 ,European
66,0.037741 ,0.013022 ,0.032200 ,0.026150 ,0.009666 ,0.023194 ,0.021768 ,0.024821 ,0.004538 ,0.001704 ,European
66,0.036623 ,0.014570 ,0.029995 ,0.028196 ,0.010898 ,0.021548 ,0.018927 ,0.019588 ,0.004967 ,0.001381 ,European
89,0.039293 ,0.013438 ,0.032662 ,0.029464 ,0.010800 ,0.026002 ,0.021480 ,0.023724 ,0.004424 ,0.001900 ,European
89,0.040294 ,0.013438 ,0.032662 ,0.032408 ,0.010800 ,0.026002 ,0.021480 ,0.023721 ,0.004424 ,0.001900 ,European
72,0.029836 ,0.014780 ,0.024310 ,0.027608 ,0.009706 ,0.023661 ,0.017839 ,0.017227 ,0.004856 ,0.001704 ,European
72,0.032163 ,0.014012 ,0.033352 ,0.025978 ,0.009744 ,0.024617 ,0.019728 ,0.021099 ,0.004677 ,0.001904 ,European
22,0.022208 ,0.008645 ,0.030171 ,0.015612 ,0.006675 ,0.012628 ,0.018000 ,0.017369 ,0.005137 ,0.000752 ,European
22,0.028935 ,0.009109 ,0.021083 ,0.016780 ,0.007137 ,0.014019 ,0.018782 ,0.019395 ,0.005631 ,0.000807 ,European
25,0.020166 ,0.011499 ,0.023474 ,0.014916 ,0.005637 ,0.014084 ,0.017234 ,0.016067 ,0.004818 ,0.000813 ,European
25,0.027855 ,0.009415 ,0.023205 ,0.017781 ,0.006229 ,0.014405 ,0.019623 ,0.020852 ,0.005934 ,0.000898 ,European
86,0.039693 ,0.014250 ,0.037855 ,0.031173 ,0.010753 ,0.025517 ,0.018386 ,0.018528 ,0.003911 ,0.001740 ,European
94,0.047235 ,0.020881 ,0.047903 ,0.051624 ,0.017802 ,0.046371 ,0.033688 ,0.048035 ,0.002784 ,0.003796 ,European
94,0.048044 ,0.018496 ,0.039862 ,0.037345 ,0.019355 ,0.040475 ,0.030246 ,0.038740 ,0.002680 ,0.003464 ,European
68,0.033854 ,0.015493 ,0.025207 ,0.026368 ,0.009571 ,0.022027 ,0.022585 ,0.026203 ,0.004669 ,0.001685 ,European
42,0.027570 ,0.010184 ,0.019157 ,0.019185 ,0.007258 ,0.017440 ,0.020189 ,0.021787 ,0.005972 ,0.001256 ,European
42,0.033375 ,0.010749 ,0.027692 ,0.016533 ,0.007548 ,0.017225 ,0.017957 ,0.017285 ,0.004734 ,0.001164 ,European
20,0.029837 ,0.016074 ,0.035185 ,0.013356 ,0.012591 ,0.013016 ,0.015559 ,0.013861 ,0.006778 ,0.000740 ,European
69,0.032137 ,0.011446 ,0.024982 ,0.025720 ,0.009716 ,0.023887 ,0.021631 ,0.024213 ,0.004334 ,0.001624 ,European
69,0.030431 ,0.013921 ,0.031854 ,0.027235 ,0.009001 ,0.025306 ,0.021901 ,0.025366 ,0.004303 ,0.001991 ,European
32,0.033609 ,0.013956 ,0.020670 ,0.014008 ,0.007412 ,0.015962 ,0.016383 ,0.014790 ,0.005997 ,0.001026 ,European
32,0.040651 ,0.009307 ,0.027488 ,0.019325 ,0.006284 ,0.015121 ,0.018012 ,0.017391 ,0.005760 ,0.001134 ,European
26,0.030917 ,0.008341 ,0.016524 ,0.014965 ,0.006654 ,0.014155 ,0.015695 ,0.014233 ,0.006317 ,0.000677 ,European
69,0.038655 ,0.014737 ,0.032976 ,0.020696 ,0.009001 ,0.025306 ,0.021901 ,0.025344 ,0.004303 ,0.001991 ,European
69,0.040210 ,0.009421 ,0.029701 ,0.029043 ,0.009720 ,0.025283 ,0.022199 ,0.025776 ,0.005923 ,0.001381 ,European
