Age,MeanDNE.Apex,MedianDNE.Apex,MeanDNE.Convex,MeanDNE.Concave,Proportion.DNEunder0.0001,Population
56,0.033512 ,0.012682 ,0.020147 ,0.021646 ,0.005838 ,European
56,0.034419 ,0.012998 ,0.020025 ,0.021534 ,0.004712 ,European
68,0.038635 ,0.013941 ,0.023559 ,0.027680 ,0.004508 ,European
70,0.041455 ,0.016036 ,0.022483 ,0.026036 ,0.004278 ,European
70,0.037373 ,0.011879 ,0.023842 ,0.028084 ,0.004548 ,European
73,0.039402 ,0.014859 ,0.022185 ,0.025759 ,0.004619 ,European
73,0.034611 ,0.013640 ,0.024973 ,0.030040 ,0.004793 ,European
75,0.036226 ,0.014768 ,0.022394 ,0.025930 ,0.004203 ,European
33,0.028402 ,0.009469 ,0.018218 ,0.017959 ,0.004839 ,European
33,0.028308 ,0.010599 ,0.018455 ,0.018619 ,0.006369 ,European
81,0.054399 ,0.019270 ,0.023724 ,0.027896 ,0.004044 ,European
81,0.037933 ,0.016317 ,0.026323 ,0.031699 ,0.004481 ,European
48,0.030865 ,0.011689 ,0.018649 ,0.019242 ,0.005862 ,European
48,0.028962 ,0.011765 ,0.020145 ,0.021634 ,0.005745 ,European
25,0.024660 ,0.009946 ,0.016234 ,0.014544 ,0.006344 ,European
78,0.037293 ,0.012982 ,0.021435 ,0.023628 ,0.004124 ,European
76,0.037618 ,0.014782 ,0.021230 ,0.023334 ,0.003781 ,European
76,0.036599 ,0.014734 ,0.022820 ,0.026873 ,0.004590 ,European
93,0.040052 ,0.016127 ,0.027621 ,0.034155 ,0.003958 ,European
93,0.039781 ,0.016217 ,0.027370 ,0.033281 ,0.003635 ,European
60,0.037117 ,0.008814 ,0.021827 ,0.025032 ,0.004878 ,European
75,0.045117 ,0.014753 ,0.021812 ,0.024926 ,0.004542 ,European
75,0.034535 ,0.014247 ,0.020043 ,0.021543 ,0.004673 ,European
79,0.038681 ,0.017108 ,0.023718 ,0.027891 ,0.004378 ,European
79,0.042979 ,0.012042 ,0.018382 ,0.018501 ,0.004523 ,European
86,0.041587 ,0.013519 ,0.021385 ,0.023598 ,0.004621 ,European
70,0.043667 ,0.013663 ,0.024576 ,0.029344 ,0.004562 ,European
79,0.040513 ,0.016548 ,0.021797 ,0.024859 ,0.004277 ,European
79,0.041285 ,0.014804 ,0.023734 ,0.027961 ,0.004445 ,European
68,0.033705 ,0.011901 ,0.021855 ,0.025125 ,0.004976 ,European
68,0.041119 ,0.012898 ,0.023074 ,0.027326 ,0.004169 ,European
68,0.043076 ,0.013649 ,0.022123 ,0.025645 ,0.004776 ,European
